"","cve_ent","tasa_covid","inclusion_fin_2019","popden2020","porcentaje_pob_pobreza_ext","porcentaje_pob_pobreza","porcentaje_pob_acceso_ss","pob_6.14_no_edu","entidad","cant_hosp"
"353",11033,120.224314290637,1.01,63.314,0.0653,0.5113,0.7143,5.76,"Guanajuato",190
"354",11034,50.1432664756447,0,29.55,0.0549,0.4718,0.8838,4.4,"Guanajuato",12
"355",11035,122.963765173052,0.81,193.905,0.0843,0.6019,0.7344,8.43,"Guanajuato",114
"356",11036,230.65374641736,0,73.756,0.0365,0.5394,0.7726,4.98,"Guanajuato",15
"357",11037,113.570788976221,1.61,383.049,0.0474,0.4328,0.4763,5.97,"Guanajuato",265
"358",11038,122.515025427647,1.08,96.294,0.0398,0.5081,0.798,7.47,"Guanajuato",35
"359",11039,94.0558866954667,0.72,108.586,0.0378,0.4995,0.7109,5.77,"Guanajuato",69
"360",11040,66.706196264453,0,51.084,0.1184,0.5405,0.8231,3.79,"Guanajuato",21
"361",11041,146.165753750893,1.46,540.369,0.0605,0.5533,0.7462,8.14,"Guanajuato",156
"362",11042,124.955909441258,0.81,183.998,0.0545,0.47,0.701,8.35,"Guanajuato",253
"363",11043,62.7294270712327,0,20.386,0.0661,0.4963,0.8123,3.36,"Guanajuato",19
"364",11044,113.322101783273,0.68,524.482,0.0386,0.3696,0.3989,5.13,"Guanajuato",76
"365",11045,56.980056980057,0,12.216,0.0724,0.6138,0.8774,6.99,"Guanajuato",14
"366",11046,107.507978579542,0.36,103.504,0.0941,0.5856,0.7605,7.65,"Guanajuato",133
"367",12001,134.824778929466,1.41,414.09,0.1673,0.5214,0.5544,5.05,"Guerrero",1343
"368",12002,44.9462837097128,0,64.894,0.4959,0.9318,0.9173,8.74,"Guerrero",4
"369",12003,34.4517290140121,0.36,18.983,0.2618,0.6469,0.8352,6.4,"Guerrero",46
"370",12004,10.9387430389817,0,38.479,0.596,0.9477,0.916,13.12,"Guerrero",7
"371",12005,20.1178330219859,0,50.277,0.187,0.7053,0.8536,4.33,"Guerrero",9
"372",12006,13.6530420684359,0,12.965,0.3429,0.7823,0.8061,6.51,"Guerrero",20
"373",12007,53.7683964727932,1.67,45.879,0.197,0.6393,0.7779,5.03,"Guerrero",87
"374",12008,22.436616558223,0,22.936,0.2092,0.7388,0.8544,6.96,"Guerrero",3
"375",12009,11.3550340651022,0,29.142,0.6649,0.953,0.9001,8.14,"Guerrero",4
"376",12010,1.42166619277794,0,41.053,0.5713,0.9631,0.9282,7.63,"Guerrero",5
"377",12011,59.1299900917314,1.3,35.939,0.1522,0.5287,0.7311,5.1,"Guerrero",82
"378",12012,21.4971099911734,0.64,93.994,0.284,0.7586,0.7176,7.09,"Guerrero",60
"379",12013,25.8280158006685,0.91,19.244,0.1606,0.5653,0.7776,3.34,"Guerrero",7
"380",12014,41.4416677131734,0.87,54.201,0.0468,0.2724,0.7011,4.72,"Guerrero",22
"381",12015,56.7809565407294,1.03,45.567,0.1117,0.5247,0.7483,3.87,"Guerrero",28
"382",12016,3.15930811152358,0,3.534,0.2254,0.6646,0.8583,14.28,"Guerrero",5
"383",12017,44.8398576512456,0.91,45.929,0.1707,0.5654,0.7433,9.93,"Guerrero",20
"384",12018,30.7356054914282,0,41.995,0.2135,0.665,0.7883,4.25,"Guerrero",14
